tipo_acto,tipo_destinatario,tipo_discapacidad,ok,urgencia,titulo,url,error
indagatoria,letrado,auditiva,OK,rojo,"Lo condenaron a 3 años de prisión en suspenso por robo. Debe cumplir obligaciones y tiene derecho a apelar.",https://notificar-clara.vercel.app/n/07d8e367-6821-4b4e-93eb-7cbbc3dd8ecc,""
indagatoria,letrado,motriz,OK,rojo,"Usted ha sido condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/bdebc57a-cce1-45f9-9e78-f237c90b2489,""
indagatoria,letrado,intelectual,OK,rojo,"Usted ha sido condenado por la justicia — aquí está explicado qué significa y qué debe hacer",https://notificar-clara.vercel.app/n/1ca07da7-6a74-4f03-8b1e-3cfa11052e8e,""
indagatoria,perito,,OK,rojo,"Lo han condenado a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/d177cc38-7cbf-49b1-b443-8277eb29b32f,""
indagatoria,perito,visual,OK,rojo,"Ha sido condenado: lo que significa esta sentencia y qué debe hacer ahora",https://notificar-clara.vercel.app/n/87ae66ad-3e0b-41ad-99fc-e96792f3c2f4,""
indagatoria,perito,auditiva,OK,rojo,"Lo condenaron por robo: qué significa y qué debe hacer ahora",https://notificar-clara.vercel.app/n/d203f7e4-6411-4a62-a472-259e41a36d4f,""
indagatoria,perito,motriz,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/0864cf56-4cff-435c-ba2c-872a58856917,""
indagatoria,perito,intelectual,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber",https://notificar-clara.vercel.app/n/380ca007-56e9-4847-a260-26f080ad8789,""
resolucion_civil,actor,,OK,rojo,"El Juzgado lo condenó por robo: 3 años en suspenso, presentaciones mensuales y 500 mil pesos de reparación",https://notificar-clara.vercel.app/n/b0e77daa-4732-4ada-a2ff-711b2ea0f0cf,""
resolucion_civil,actor,visual,OK,rojo,"Lo que decidió el juez sobre su caso de robo: condenado a 3 años de prisión en suspenso",https://notificar-clara.vercel.app/n/5fffbe9c-2cd6-4960-ac07-1444bdebe070,""
resolucion_civil,actor,auditiva,OK,rojo,"Usted ha sido condenado por robo. Debe cumplir con obligaciones específicas.",https://notificar-clara.vercel.app/n/0f0e882b-8439-4cd9-935e-f92ebcb48491,""
resolucion_civil,actor,motriz,OK,rojo,"La justicia lo condenó a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/fd87e3bb-b01d-40f3-a9a2-a3dc4702152c,""
resolucion_civil,actor,intelectual,OK,rojo,"El juez lo condenó por robo. Debe cumplir obligaciones y puede apelar",https://notificar-clara.vercel.app/n/a3ba48b3-8622-40d4-b89d-985b7f9c7aff,""
resolucion_civil,demandado,,OK,rojo,"Lo condenaron a 3 años de prisión en suspenso por robo, con obligaciones que debe cumplir",https://notificar-clara.vercel.app/n/a07ec1d1-c40e-4336-9040-d7fce8da33a6,""
resolucion_civil,demandado,visual,OK,rojo,"Lo condenaron por robo: tres años de prisión en suspenso y obligaciones que debe cumplir",https://notificar-clara.vercel.app/n/f227dea5-6901-4498-bf0d-f94e00f589c7,""
resolucion_civil,demandado,auditiva,OK,rojo,"Usted ha sido condenado por robo. El juez decidió su caso.",https://notificar-clara.vercel.app/n/ec9dadb3-f164-407a-a5e4-71fee8c4aaa8,""
resolucion_civil,demandado,motriz,OK,rojo,"Lo condenaron a 3 años de prisión en suspenso por robo. Debe cumplir obligaciones y puede apelar",https://notificar-clara.vercel.app/n/aa9bc39d-bf07-42aa-86da-e47b57c12844,""
resolucion_civil,demandado,intelectual,OK,rojo,"El juez lo condenó por robo: debe cumplir obligaciones y puede apelar",https://notificar-clara.vercel.app/n/1a7b6efe-13af-4322-9f32-b32677a281d8,""
resolucion_civil,imputado,,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/999d48ac-86e5-4aa7-b16c-4b88c773521d,""
resolucion_civil,imputado,visual,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/09d3e5cf-3882-4d44-a183-d226702c3544,""
resolucion_civil,imputado,auditiva,OK,rojo,"El juez lo condenó por robo. Conocé qué debe hacer ahora.",https://notificar-clara.vercel.app/n/42f47af1-6b3e-4a47-9e7f-566d0b4c7a7a,""
resolucion_civil,imputado,motriz,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/e2ea33ec-257f-462a-986a-a5c4edf4735b,""
resolucion_civil,imputado,intelectual,OK,rojo,"Usted ha sido condenado por robo. Debe cumplir con obligaciones importantes.",https://notificar-clara.vercel.app/n/8a936a04-1c1c-4270-93f8-397bd2e20b91,""
resolucion_civil,victima,,OK,rojo,"Lo condenaron por robo, pero no irá preso de inmediato",https://notificar-clara.vercel.app/n/b1a0dd48-65c3-43dc-9d4e-6abb67232c29,""
resolucion_civil,victima,visual,OK,rojo,"El juez lo condenó por robo. Debe cumplir obligaciones específicas.",https://notificar-clara.vercel.app/n/612f30a3-4b27-4977-8749-e362740e6da1,""
resolucion_civil,victima,auditiva,OK,rojo,"El juez lo condenó por robo. Debe cumplir con obligaciones y puede apelar",https://notificar-clara.vercel.app/n/5e55a1e9-b4bd-4c63-ada9-3575875b6a9a,""
resolucion_civil,victima,motriz,OK,rojo,"Lo han condenado a tres años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/46df3c45-4946-418a-8e3b-3af6445c2c78,""
resolucion_civil,victima,intelectual,OK,rojo,"El juez lo condenó por robo: 3 años de prisión en suspenso y deberá pagar 500 mil pesos",https://notificar-clara.vercel.app/n/757a5329-f890-4b86-8378-7809faae420c,""
resolucion_civil,testigo,,OK,rojo,"Lo han condenado a prisión en suspenso por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/9676d5df-f0aa-4f2c-b4a0-e666af010e74,""
resolucion_civil,testigo,visual,OK,rojo,"La justicia lo ha condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/81c2e9a6-e054-430d-b5ef-f8256a7a8580,""
resolucion_civil,testigo,auditiva,OK,rojo,"Usted ha sido condenado por robo. Esto es lo que debe saber.",https://notificar-clara.vercel.app/n/a8e068e0-5e99-47c4-b580-827bae113f74,""
resolucion_civil,testigo,motriz,OK,rojo,"Ha sido condenado/a por robo: prisión en suspenso, pago de dinero y obligaciones",https://notificar-clara.vercel.app/n/7cd01536-11c7-4218-b85f-abe8fb29ff3c,""
resolucion_civil,testigo,intelectual,OK,rojo,"El juez lo condenó por robo: debe cumplir con obligaciones y puede apelar",https://notificar-clara.vercel.app/n/85856bd2-6002-4d73-829f-e9ce3b0c9739,""
resolucion_civil,nna_0_6,,OK,rojo,"El juez lo condena a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/04a68561-9fa6-4544-8dd3-625911d56575,""
resolucion_civil,nna_0_6,visual,OK,rojo,"Usted ha sido condenado por robo: prisión en suspenso, obligaciones y plazo para apelar",https://notificar-clara.vercel.app/n/60077e9a-7d08-45a7-97e8-320d8f0fdb50,""
resolucion_civil,nna_0_6,auditiva,OK,rojo,"Lo condenan a 3 años de prisión en suspenso por robo",https://notificar-clara.vercel.app/n/72140b7c-22c5-4f99-ad9b-bb52ed8785ad,""
resolucion_civil,nna_0_6,motriz,OK,rojo,"Usted ha sido condenado por robo. Debe conocer sus obligaciones y derechos",https://notificar-clara.vercel.app/n/55a3f626-96cd-411c-81ac-aba544ac168c,""
resolucion_civil,nna_0_6,intelectual,OK,rojo,"Lo condenaron por robo: debe cumplir obligaciones y puede apelar",https://notificar-clara.vercel.app/n/f9f47e74-39ae-414c-85e4-44e9006b5e96,""
